id,name,partOf,locationType
2OKicPQMNI,Registrar General's Department,Location/BxrIbNW7f3K,CRVS_OFFICE
JEhYJ82xRI,Carmichael District Office,Location/ntoX1PkiWri,CRVS_OFFICE
JWMRGwDBXK,Nassau District Office,Location/oEBf29y8JP8,CRVS_OFFICE
HKASqwkASD,Centreville District Office,Location/QTtxiWj8ONP,CRVS_OFFICE
eaBXhNiLMp,Fox Hill District Office,Location/ydyJb1RAy4U,CRVS_OFFICE
okQp4uKCz0,Freeport District Office,Location/HPGiE9Jjh2r,CRVS_OFFICE
R5n2eHaSpB,West End District Office,Location/SvFNQpplnch,CRVS_OFFICE
GzanivmNaP,Eight Mile Rock District Office,Location/Oapn6R4rt3D,CRVS_OFFICE
2stAtvOCwl,High Rock District Office,Location/nO68NTtcdw2,CRVS_OFFICE
p9TC08l373,Marsh Harbour District Office,Location/BxrIbNW7f3K,CRVS_OFFICE
Hal1YwlBw7,Treasure Cay District Office,Location/NLjvK1QsrN3,CRVS_OFFICE
OgMqVlKHoN,Cooper's Town District Office,Location/idR0pJWLqcR,CRVS_OFFICE
FHTLilSEgD,Sandy Point District Office,Location/FuvOOwvBw0p,CRVS_OFFICE
jMEPmtRKQ9,Governor's Harbour District Office,Location/SQT8xjbvWwf,CRVS_OFFICE
hfFdA2JI3T,Rock Sound District Office,Location/hywxVKv48Xp,CRVS_OFFICE
mNCAv7oKj8,Harbour Island District Office,Location/jCJxK8sFH40,CRVS_OFFICE
H0EaOnzz0a,Spanish Wells District Office,Location/R22tRIhdm5Y,CRVS_OFFICE
