id,name,partOf,locationType
pXhz0PLiYZX,Princess Margaret Hospital,Location/oEBf29y8JP8,HEALTH_FACILITY
FrOn8lcbzPb,Flamingo Gardens Clinic,Location/ntoX1PkiWri,HEALTH_FACILITY
aEXcyG2MVNB,Doctors Hospital,Location/QTtxiWj8ONP,HEALTH_FACILITY
thxSZm62CbT,Elizabeth Estates Clinic,Location/ydyJb1RAy4U,HEALTH_FACILITY
NtzuCllVXfG,Rand Memorial Hospital,Location/HPGiE9Jjh2r,HEALTH_FACILITY
oABTNoRnphB,West End Community Clinic,Location/SvFNQpplnch,HEALTH_FACILITY
oHlcVn3rdb1,Eight Mile Rock Clinic,Location/Oapn6R4rt3D,HEALTH_FACILITY
oEAPngMSIE3,High Rock Clinic,Location/nO68NTtcdw2,HEALTH_FACILITY
xZhQm57zS74,Marsh Harbour Community Clinic,Location/BxrIbNW7f3K,HEALTH_FACILITY
gNLLh1Eggai,Treasure Cay Clinic,Location/NLjvK1QsrN3,HEALTH_FACILITY
FVK5bEf4nEV,Cooper's Town Clinic,Location/idR0pJWLqcR,HEALTH_FACILITY
vIGoufkybpb,Sandy Point Clinic,Location/FuvOOwvBw0p,HEALTH_FACILITY
u0Kxxp8uuwQ,Governor's Harbour Clinic,Location/SQT8xjbvWwf,HEALTH_FACILITY
pgh8kxpUHJU,Rock Sound Clinic,Location/hywxVKv48Xp,HEALTH_FACILITY
cY0ExeKU9zM,Harbour Island Clinic,Location/jCJxK8sFH40,HEALTH_FACILITY
KtHVXgCJdRm,Spanish Wells Clinic,Location/R22tRIhdm5Y,HEALTH_FACILITY
